DataId,Indicator,Value,Precision,SurveyYear,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicCategory,CharacteristicLabel,IsPreferred,SDRID,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
198690,Children severely stunted,9.8,1,2016,CN_NUTS_C_HA3,104236010,I,1000,Total,Total,TRUE,CNNUTSCHA3,1404,1468,NA,NA,NA
198687,Children stunted,27.4,1,2016,CN_NUTS_C_HA2,104236020,I,1000,Total,Total,TRUE,CNNUTSCHA2,1404,1468,NA,NA,NA
198688,Mean height for age of children,-1.1,1,2016,CN_NUTS_C_HAM,104236030,I,1000,Total,Total,TRUE,CNNUTSCHAM,1404,1468,NA,NA,NA
597227,Children severely wasted,0.6,1,2016,CN_NUTS_C_WH3,104236040,I,1000,Total,Total,TRUE,CNNUTSCWH3,1384,1449,NA,NA,NA
597228,Children wasted,2.5,1,2016,CN_NUTS_C_WH2,104236050,I,1000,Total,Total,TRUE,CNNUTSCWH2,1384,1449,NA,NA,NA
597229,Children overweight,13.3,1,2016,CN_NUTS_C_WHP,104236060,I,1000,Total,Total,TRUE,CNNUTSCWHP,1384,1449,NA,NA,NA
597226,Mean weight for height of children,0.6,1,2016,CN_NUTS_C_WHM,104236070,I,1000,Total,Total,TRUE,CNNUTSCWHM,1384,1449,NA,NA,NA
26824,Children severely underweight,1.1,1,2016,CN_NUTS_C_WA3,104236080,I,1000,Total,Total,TRUE,CNNUTSCWA3,1416,1479,NA,NA,NA
26823,Children underweight,5.9,1,2016,CN_NUTS_C_WA2,104236090,I,1000,Total,Total,TRUE,CNNUTSCWA2,1416,1479,NA,NA,NA
26825,Children overweight for their age,4.5,1,2016,CN_NUTS_C_WAP,104236100,I,1000,Total,Total,TRUE,CNNUTSCWAP,1416,1479,NA,NA,NA
26822,Mean weight for age of children,-0.2,1,2016,CN_NUTS_C_WAM,104236110,I,1000,Total,Total,TRUE,CNNUTSCWAM,1416,1479,NA,NA,NA
755680,Women with height below 145 cm,1.5,1,2016,AN_NUTS_W_SHT,114563010,I,1000,Total,Total,TRUE,ANNUTSWSHT,3272,3405,NA,NA,NA
759177,Number of women,3272,0,2016,AN_NUTS_W_NM1,114563020,D,1000,Total,Total,TRUE,ANNUTSWNM1,3272,3405,NA,NA,NA
371747,Number of women (unweighted),3405,0,2016,AN_NUTS_W_UN1,114563030,U,1000,Total,Total,TRUE,ANNUTSWUN1,3272,3405,NA,NA,NA
654100,Mean Body Mass Index (BMI) for women,28.3,1,2016,AN_NUTS_W_BMI,114563040,I,1000,Total,Total,TRUE,ANNUTSWBMI,3081,3210,NA,NA,NA
654101,Women with normal BMI (18.5-24.9),34.7,1,2016,AN_NUTS_W_NRM,114563050,I,1000,Total,Total,TRUE,ANNUTSWNRM,3081,3210,NA,NA,NA
654102,Women who are thin according to BMI (<18.5),3.1,1,2016,AN_NUTS_W_THN,114563060,I,1000,Total,Total,TRUE,ANNUTSWTHN,3081,3210,NA,NA,NA
654103,Women who are mildly thin according to BMI (17.0-18.4),2.6,1,2016,AN_NUTS_W_TH1,114563070,I,1000,Total,Total,TRUE,ANNUTSWTH1,3081,3210,NA,NA,NA
654104,Women who are moderately thin according to BMI (<17.0),0.5,1,2016,AN_NUTS_W_TH2,114563080,I,1000,Total,Total,TRUE,ANNUTSWTH2,3081,3210,NA,NA,NA
654105,Women who are overweight or obese according to BMI (>=25.0),62.2,1,2016,AN_NUTS_W_OWT,114563090,I,1000,Total,Total,TRUE,ANNUTSWOWT,3081,3210,NA,NA,NA
654107,Women who are overweight according to BMI (25.0-29.9),26.3,1,2016,AN_NUTS_W_OVW,114563100,I,1000,Total,Total,TRUE,ANNUTSWOVW,3081,3210,NA,NA,NA
654106,Women who are obese according to BMI (>=30.0),35.9,1,2016,AN_NUTS_W_OBS,114563110,I,1000,Total,Total,TRUE,ANNUTSWOBS,3081,3210,NA,NA,NA
660746,Number of women,3081,0,2016,AN_NUTS_W_NUM,114563120,D,1000,Total,Total,TRUE,ANNUTSWNUM,3081,3210,NA,NA,NA
337857,Number of women (unweighted),3210,0,2016,AN_NUTS_W_UNW,114563130,U,1000,Total,Total,TRUE,ANNUTSWUNW,3081,3210,NA,NA,NA
594654,Men with height below 145 cm,0.3,1,2016,AN_NUTS_M_SHT,114564140,I,10000,Total 15-49,Total 15-49,TRUE,ANNUTSMSHT,3202,3179,NA,NA,NA
603608,Number of men,3202,0,2016,AN_NUTS_M_NM1,114564150,D,10000,Total 15-49,Total 15-49,TRUE,ANNUTSMNM1,3202,3179,NA,NA,NA
383574,Number of men (unweighted),3179,0,2016,AN_NUTS_M_UN1,114564160,U,10000,Total 15-49,Total 15-49,TRUE,ANNUTSMUN1,3202,3179,NA,NA,NA
621589,Mean Body Mass Index (BMI) for men,23,1,2016,AN_NUTS_M_BMI,114564170,I,10000,Total 15-49,Total 15-49,TRUE,ANNUTSMBMI,2336,2457,NA,NA,NA
621583,Men with normal BMI (18.5-24.9),65.2,1,2016,AN_NUTS_M_NRM,114564180,I,10000,Total 15-49,Total 15-49,TRUE,ANNUTSMNRM,2336,2457,NA,NA,NA
621590,Men who are thin according to BMI (<18.5),9.6,1,2016,AN_NUTS_M_THN,114564190,I,10000,Total 15-49,Total 15-49,TRUE,ANNUTSMTHN,2336,2457,NA,NA,NA
621584,Men who are mildly thin according to BMI (17.0-18.4),7.4,1,2016,AN_NUTS_M_TH1,114564200,I,10000,Total 15-49,Total 15-49,TRUE,ANNUTSMTH1,2336,2457,NA,NA,NA
621585,Men who are moderately thin according to BMI (<17.0),2.2,1,2016,AN_NUTS_M_TH2,114564210,I,10000,Total 15-49,Total 15-49,TRUE,ANNUTSMTH2,2336,2457,NA,NA,NA
621586,Men who are overweight or obese according to BMI (>=25.0),25.1,1,2016,AN_NUTS_M_OWT,114564220,I,10000,Total 15-49,Total 15-49,TRUE,ANNUTSMOWT,2336,2457,NA,NA,NA
621587,Men who are overweight according to BMI (25.0-29.9),17.2,1,2016,AN_NUTS_M_OVW,114564230,I,10000,Total 15-49,Total 15-49,TRUE,ANNUTSMOVW,2336,2457,NA,NA,NA
