DataId,Indicator,Value,Precision,SurveyYear,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicCategory,CharacteristicLabel,IsPreferred,SDRID,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
795160,Sex before the age of 15 [Women],8,1,1998,HA_AFSY_W_A15,135763010,I,1000,Total,Total,TRUE,HAAFSYWA15,4459,4459,NA,NA,NA
795161,Number of young women,4324,0,1998,HA_AFSY_W_NM1,135763020,D,1000,Total,Total,TRUE,HAAFSYWNM1,4459,4459,NA,NA,NA
796612,Number of young women (unweighted),4459,0,1998,HA_AFSY_W_UN1,135763030,U,1000,Total,Total,TRUE,HAAFSYWUN1,NA,NA,NA,NA,NA
795358,Sex before the age of 18 [Women],54.5,1,1998,HA_AFSY_W_A18,135763040,I,1000,Total,Total,TRUE,HAAFSYWA18,2993,2993,NA,NA,NA
795240,Number of young women age 18-24,2955,0,1998,HA_AFSY_W_NM2,135763050,D,1000,Total,Total,TRUE,HAAFSYWNM2,2993,2993,NA,NA,NA
796631,Number of young women age 18-24 (unweighted),2993,0,1998,HA_AFSY_W_UN2,135763060,U,1000,Total,Total,TRUE,HAAFSYWUN2,NA,NA,NA,NA,NA
795192,Young women never having sexual intercourse,40.3,1,1998,HA_PSXY_W_NSX,135803010,I,1000,Total,Total,TRUE,HAPSXYWNSX,3857,3857,NA,NA,NA
795191,Young women having premarital sex in last year,48.7,1,1998,HA_PSXY_W_SX1,135803020,I,1000,Total,Total,TRUE,HAPSXYWSX1,3857,3857,NA,NA,NA
795231,Number of never-married young women,3721,0,1998,HA_PSXY_W_NUM,135803030,D,1000,Total,Total,TRUE,HAPSXYWNUM,3857,3857,NA,NA,NA
796482,Number of never-married young women (unweighted),3857,0,1998,HA_PSXY_W_UNW,135803040,U,1000,Total,Total,TRUE,HAPSXYWUNW,NA,NA,NA,NA,NA
796410,Young women using a condom during premarital sex,21.8,1,1998,HA_PSXY_W_CND,135803050,I,1000,Total,Total,TRUE,HAPSXYWCND,1858,1858,NA,NA,NA
796412,Number of never-married young women who had sex in the past year,1811,0,1998,HA_PSXY_W_NM1,135803060,D,1000,Total,Total,TRUE,HAPSXYWNM1,1858,1858,NA,NA,NA
796531,Number of never-married young women who had sex in the past year (unweighted),1858,0,1998,HA_PSXY_W_UN1,135803070,U,1000,Total,Total,TRUE,HAPSXYWUN1,NA,NA,NA,NA,NA
795149,Number of sexually active young women,2343,0,1998,HA_MSPY_W_NM2,135833050,D,1000,Total,Total,TRUE,HAMSPYWNM2,2390,2390,NA,NA,NA
796592,Number of sexually active young women (unweighted),2390,0,1998,HA_MSPY_W_UN2,135833060,U,1000,Total,Total,TRUE,HAMSPYWUN2,NA,NA,NA,NA,NA
652413,Higher risk sex in the last year [Women],57.6,1,2016,HA_HRSX_W_HRS,135403010,I,10000,Total 15-49,Total 15-49,TRUE,HAHRSXWHRS,6489,6489,NA,NA,NA
658950,Number of women reporting sexual activity in the last 12 months,6586,0,2016,HA_HRSX_W_NM1,135403020,D,10000,Total 15-49,Total 15-49,TRUE,HAHRSXWNM1,6489,6489,NA,NA,NA
341328,Number of women reporting sexual activity in the last 12 months (unweighted),6489,0,2016,HA_HRSX_W_UN1,135403030,U,10000,Total 15-49,Total 15-49,TRUE,HAHRSXWUN1,NA,NA,NA,NA,NA
462686,"Condom use at last higher risk sex (with a non-marital, non-cohabiting partner) [Women]",60,1,2016,HA_HRSX_W_CND,135403040,I,10000,Total 15-49,Total 15-49,TRUE,HAHRSXWCND,3866,3866,NA,NA,NA
