DataId,Indicator,Value,Precision,SurveyYear,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicCategory,CharacteristicLabel,IsPreferred,SDRID,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
751751,Antenatal care provider: Doctor,28.5,1,1998,RH_ANCP_W_DOC,83363010,I,1000,Total,Total,FALSE,RHANCPWDOC,2871,2903,NA,NA,NA
567476,Antenatal care provider: Doctor,30,1,1998,RH_ANCP_W_DOC,83363010,I,1000,Total,Total,FALSE,RHANCPWDOC,4122,4148,NA,NA,NA
205488,Antenatal care provider: Doctor,27.3,1,1998,RH_ANCP_W_DOC,83363010,I,1000,Total,Total,TRUE,RHANCPWDOC,2010,2041,NA,NA,NA
751748,Antenatal care provider: Nurse/midwife,66.6,1,1998,RH_ANCP_W_NRS,83363020,I,1000,Total,Total,FALSE,RHANCPWNRS,2871,2903,NA,NA,NA
567472,Antenatal care provider: Nurse/midwife,65,1,1998,RH_ANCP_W_NRS,83363020,I,1000,Total,Total,FALSE,RHANCPWNRS,4122,4148,NA,NA,NA
205485,Antenatal care provider: Nurse/midwife,68.4,1,1998,RH_ANCP_W_NRS,83363020,I,1000,Total,Total,TRUE,RHANCPWNRS,2010,2041,NA,NA,NA
751754,Antenatal care provider: Traditional birth attendant,0.1,1,1998,RH_ANCP_W_TBA,83363070,I,1000,Total,Total,FALSE,RHANCPWTBA,2871,2903,NA,NA,NA
751752,Antenatal care provider: Other,0.6,1,1998,RH_ANCP_W_OTH,83363080,I,1000,Total,Total,FALSE,RHANCPWOTH,2871,2903,NA,NA,NA
567479,Antenatal care provider: Other,0.7,1,1998,RH_ANCP_W_OTH,83363080,I,1000,Total,Total,FALSE,RHANCPWOTH,4122,4148,NA,NA,NA
751749,Antenatal care provider: Missing,1.2,1,1998,RH_ANCP_W_MIS,83363090,S,1000,Total,Total,FALSE,RHANCPWMIS,2871,2903,NA,NA,NA
567473,Antenatal care provider: Missing,1.1,1,1998,RH_ANCP_W_MIS,83363090,S,1000,Total,Total,FALSE,RHANCPWMIS,4122,4148,NA,NA,NA
205491,Antenatal care provider: Missing,0.9,1,1998,RH_ANCP_W_MIS,83363090,S,1000,Total,Total,TRUE,RHANCPWMIS,2010,2041,NA,NA,NA
751753,No antenatal care,2.9,1,1998,RH_ANCP_W_NON,83363100,I,1000,Total,Total,FALSE,RHANCPWNON,2871,2903,NA,NA,NA
567480,No antenatal care,3.1,1,1998,RH_ANCP_W_NON,83363100,I,1000,Total,Total,FALSE,RHANCPWNON,4122,4148,NA,NA,NA
205490,No antenatal care,2.7,1,1998,RH_ANCP_W_NON,83363100,I,1000,Total,Total,TRUE,RHANCPWNON,2010,2041,NA,NA,NA
751750,Antenatal care: Total,100,1,1998,RH_ANCP_W_TOT,83363110,T,1000,Total,Total,FALSE,RHANCPWTOT,2871,2903,NA,NA,NA
751767,Antenatal care from a skilled provider,95.1,1,1998,RH_ANCP_W_SKP,83363120,I,1000,Total,Total,FALSE,RHANCPWSKP,2871,2903,NA,NA,NA
567475,Antenatal care from a skilled provider,95,1,1998,RH_ANCP_W_SKP,83363120,I,1000,Total,Total,FALSE,RHANCPWSKP,4122,4148,NA,NA,NA
205486,Antenatal care from a skilled provider,95.7,1,1998,RH_ANCP_W_SKP,83363120,I,1000,Total,Total,TRUE,RHANCPWSKP,2010,2041,NA,NA,NA
754459,Number of women with a live birth (or stillbirth) in the last two (or three/five) years,2871,0,1998,RH_ANCP_W_NUM,83363130,D,1000,Total,Total,FALSE,RHANCPWNUM,2010,2903,NA,NA,NA
566372,Number of women with a live birth (or stillbirth) in the last two (or three/five) years,4122,0,1998,RH_ANCP_W_NUM,83363130,D,1000,Total,Total,FALSE,RHANCPWNUM,2010,4148,NA,NA,NA
205498,Number of women with a live birth (or stillbirth) in the last two (or three/five) years,2010,0,1998,RH_ANCP_W_NUM,83363130,D,1000,Total,Total,TRUE,RHANCPWNUM,2010,2041,NA,NA,NA
375163,Number of women with a live birth (or stillbirth) in the last two (or three/five) years (unweighted),2903,0,1998,RH_ANCP_W_UNW,83363140,U,1000,Total,Total,FALSE,RHANCPWUNW,2871,2041,NA,NA,NA
27571,Number of women with a live birth (or stillbirth) in the last two (or three/five) years (unweighted),4148,0,1998,RH_ANCP_W_UNW,83363140,U,1000,Total,Total,FALSE,RHANCPWUNW,4122,2041,NA,NA,NA
205492,Number of women with a live birth (or stillbirth) in the last two (or three/five) years (unweighted),2041,0,1998,RH_ANCP_W_UNW,83363140,U,1000,Total,Total,TRUE,RHANCPWUNW,2010,2041,NA,NA,NA
334590,Place of delivery: Public sector,76.5,1,1998,RH_DELP_C_PUB,83566010,I,1000,Total,Total,FALSE,RHDELPCPUB,3072,3119,NA,NA,NA
302266,Place of delivery: Public sector,74.9,1,1998,RH_DELP_C_PUB,83566010,I,1000,Total,Total,FALSE,RHDELPCPUB,4992,5066,NA,NA,NA
3816,Place of delivery: Public sector,77.6,1,1998,RH_DELP_C_PUB,83566010,I,1000,Total,Total,TRUE,RHDELPCPUB,2081,2113,NA,NA,NA
334592,Place of delivery: Private sector,8,1,1998,RH_DELP_C_PRV,83566020,I,1000,Total,Total,FALSE,RHDELPCPRV,3072,3119,NA,NA,NA
302262,Place of delivery: Private sector,8.5,1,1998,RH_DELP_C_PRV,83566020,I,1000,Total,Total,FALSE,RHDELPCPRV,4992,5066,NA,NA,NA
3671,Place of delivery: Private sector,7.5,1,1998,RH_DELP_C_PRV,83566020,I,1000,Total,Total,TRUE,RHDELPCPRV,2081,2113,NA,NA,NA
334593,Place of delivery: At home,13.8,1,1998,RH_DELP_C_HOM,83566030,I,1000,Total,Total,FALSE,RHDELPCHOM,3072,3119,NA,NA,NA
302263,Place of delivery: At home,14.3,1,1998,RH_DELP_C_HOM,83566030,I,1000,Total,Total,FALSE,RHDELPCHOM,4992,5066,NA,NA,NA
3672,Place of delivery: At home,13.5,1,1998,RH_DELP_C_HOM,83566030,I,1000,Total,Total,TRUE,RHDELPCHOM,2081,2113,NA,NA,NA
334594,Place of delivery: Other,0.1,1,1998,RH_DELP_C_OTH,83566040,I,1000,Total,Total,FALSE,RHDELPCOTH,3072,3119,NA,NA,NA
302264,Place of delivery: Other,0.2,1,1998,RH_DELP_C_OTH,83566040,I,1000,Total,Total,FALSE,RHDELPCOTH,4992,5066,NA,NA,NA
334595,Place of delivery: don't know or missing,1.6,1,1998,RH_DELP_C_DKM,83566050,S,1000,Total,Total,FALSE,RHDELPCDKM,3072,3119,NA,NA,NA
