Dataset,SurveyYear,CharacteristicId,CharacteristicCategory,CharacteristicLabel,IndicatorId,IndicatorType,Value,DenominatorWeighted,DenominatorUnweighted
Access_To_Healthcare_01,1998,1000,Total,Total,RH_ANCP_W_DOC,I,28.5,2871,2903
Access_To_Healthcare_01,1998,1000,Total,Total,RH_ANCP_W_DOC,I,30,4122,4148
Access_To_Healthcare_01,1998,1000,Total,Total,RH_ANCP_W_DOC,I,27.3,2010,2041
Access_To_Healthcare_01,1998,1000,Total,Total,RH_ANCP_W_NRS,I,66.6,2871,2903
Access_To_Healthcare_01,1998,1000,Total,Total,RH_ANCP_W_NRS,I,65,4122,4148
Access_To_Healthcare_01,1998,1000,Total,Total,RH_ANCP_W_NRS,I,68.4,2010,2041
Access_To_Healthcare_01,1998,1000,Total,Total,RH_ANCP_W_TBA,I,0.1,2871,2903
Access_To_Healthcare_01,1998,1000,Total,Total,RH_ANCP_W_OTH,I,0.6,2871,2903
Access_To_Healthcare_01,1998,1000,Total,Total,RH_ANCP_W_OTH,I,0.7,4122,4148
Access_To_Healthcare_01,1998,1000,Total,Total,RH_ANCP_W_MIS,S,1.2,2871,2903
Access_To_Healthcare_01,1998,1000,Total,Total,RH_ANCP_W_MIS,S,1.1,4122,4148
Access_To_Healthcare_01,1998,1000,Total,Total,RH_ANCP_W_MIS,S,0.9,2010,2041
Access_To_Healthcare_01,1998,1000,Total,Total,RH_ANCP_W_NON,I,2.9,2871,2903
Access_To_Healthcare_01,1998,1000,Total,Total,RH_ANCP_W_NON,I,3.1,4122,4148
Access_To_Healthcare_01,1998,1000,Total,Total,RH_ANCP_W_NON,I,2.7,2010,2041
Access_To_Healthcare_01,1998,1000,Total,Total,RH_ANCP_W_TOT,T,100,2871,2903
Access_To_Healthcare_01,1998,1000,Total,Total,RH_ANCP_W_SKP,I,95.1,2871,2903
Access_To_Healthcare_01,1998,1000,Total,Total,RH_ANCP_W_SKP,I,95,4122,4148
Access_To_Healthcare_01,1998,1000,Total,Total,RH_ANCP_W_SKP,I,95.7,2010,2041
Access_To_Healthcare_01,1998,1000,Total,Total,RH_ANCP_W_NUM,D,2871,2010,2903
Access_To_Healthcare_01,1998,1000,Total,Total,RH_ANCP_W_NUM,D,4122,2010,4148
Access_To_Healthcare_01,1998,1000,Total,Total,RH_ANCP_W_NUM,D,2010,2010,2041
Access_To_Healthcare_01,1998,1000,Total,Total,RH_ANCP_W_UNW,U,2903,2871,2041
