Dataset,SurveyYear,CharacteristicId,CharacteristicCategory,CharacteristicLabel,IndicatorId,IndicatorType,Value,DenominatorWeighted,DenominatorUnweighted
Toilet_05,1998,1000,Total,Total,WS_TLET_H_IMP,I,50.1,12247,12247
Toilet_05,1998,1000,Total,Total,WS_TLET_H_NIM,I,38.3,12247,12247
Toilet_05,1998,1000,Total,Total,WS_TLET_H_NPT,I,31.2,12247,12247
Toilet_05,1998,1000,Total,Total,WS_TLET_H_NBK,I,6,12247,12247
Toilet_05,1998,1000,Total,Total,WS_TLET_H_NFC,I,11.6,12247,12247
Toilet_05,1998,1000,Total,Total,WS_TLET_H_DKM,S,0.7,12247,12247
Toilet_05,1998,1000,Total,Total,WS_TLET_H_TOT,T,100,12247,12247
Toilet_05,1998,1000,Total,Total,WS_TLET_H_NUM,D,12247,NA,12247
Toilet_05,1998,1000,Total,Total,WS_TLET_H_UNW,U,12247,12247,NA
Toilet_05,1998,1000,Total,Total,WS_TLET_P_IMP,I,46.4,52007,52465
Toilet_05,1998,1000,Total,Total,WS_TLET_P_NIM,I,40.8,52007,52465
Toilet_05,1998,1000,Total,Total,WS_TLET_P_NPT,I,34.1,52007,52465
Toilet_05,1998,1000,Total,Total,WS_TLET_P_NBK,I,5.7,52007,52465
Toilet_05,1998,1000,Total,Total,WS_TLET_P_NFC,I,12.8,52007,52465
Toilet_05,1998,1000,Total,Total,WS_TLET_P_DKM,S,0.7,52007,52465
Toilet_05,1998,1000,Total,Total,WS_TLET_P_TOT,T,100,52007,52465
Toilet_05,1998,1000,Total,Total,WS_TLET_P_NUM,D,52007,NA,52465
Toilet_05,1998,1000,Total,Total,WS_TLET_P_UNW,U,52465,52007,NA
Toilet_05,2016,1000,Total,Total,WS_TLET_H_IMP,I,95.6,11083,11083
Toilet_05,2016,1000,Total,Total,WS_TLET_H_FSW,I,56.8,11083,11083
Toilet_05,2016,1000,Total,Total,WS_TLET_H_FSP,I,1.7,11083,11083
Toilet_05,2016,1000,Total,Total,WS_TLET_H_FPT,I,1.3,11083,11083
Toilet_05,2016,1000,Total,Total,WS_TLET_H_VIP,I,26,11083,11083
Toilet_05,2016,1000,Total,Total,WS_TLET_H_PSL,I,8,11083,11083
Toilet_05,2016,1000,Total,Total,WS_TLET_H_COM,I,1.1,11083,11083
Toilet_05,2016,1000,Total,Total,WS_TLET_H_NIM,I,2,11083,11083
Toilet_05,2016,1000,Total,Total,WS_TLET_H_NFL,I,0.4,11083,11083
Toilet_05,2016,1000,Total,Total,WS_TLET_H_NBK,I,1.6,11083,11083
Toilet_05,2016,1000,Total,Total,WS_TLET_H_NFC,I,2.4,11083,11083
Toilet_05,2016,1000,Total,Total,WS_TLET_H_TOT,T,100,11083,11083
Toilet_05,2016,1000,Total,Total,WS_TLET_H_NUM,D,11083,NA,11083
Toilet_05,2016,1000,Total,Total,WS_TLET_H_UNW,U,11083,11083,NA
Toilet_05,2016,1000,Total,Total,WS_TLET_P_IMP,I,96,37205,37925
Toilet_05,2016,1000,Total,Total,WS_TLET_P_FSW,I,54.3,37205,37925
Toilet_05,2016,1000,Total,Total,WS_TLET_P_FSP,I,1.4,37205,37925
Toilet_05,2016,1000,Total,Total,WS_TLET_P_FPT,I,0.9,37205,37925
Toilet_05,2016,1000,Total,Total,WS_TLET_P_VIP,I,28.1,37205,37925
Toilet_05,2016,1000,Total,Total,WS_TLET_P_PSL,I,9.9,37205,37925
Toilet_05,2016,1000,Total,Total,WS_TLET_P_COM,I,1,37205,37925
Toilet_05,2016,1000,Total,Total,WS_TLET_P_NIM,I,1.7,37205,37925
Toilet_05,2016,1000,Total,Total,WS_TLET_P_NFL,I,0.4,37205,37925
Toilet_05,2016,1000,Total,Total,WS_TLET_P_NBK,I,1.4,37205,37925
Toilet_05,2016,1000,Total,Total,WS_TLET_P_NFC,I,2.2,37205,37925
Toilet_05,2016,1000,Total,Total,WS_TLET_P_TOT,T,100,37205,37925
Toilet_05,2016,1000,Total,Total,WS_TLET_P_NUM,D,37205,NA,37925
Toilet_05,2016,1000,Total,Total,WS_TLET_P_UNW,U,37925,37205,NA
Water_06,1998,1000,Total,Total,WS_SRCE_H_IMP,I,86.3,12247,12247
Water_06,1998,1000,Total,Total,WS_SRCE_H_PIP,I,38.9,12247,12247
Water_06,1998,1000,Total,Total,WS_SRCE_H_TAP,I,19.5,12247,12247
Water_06,1998,1000,Total,Total,WS_SRCE_H_TUB,I,3,12247,12247
Water_06,1998,1000,Total,Total,WS_SRCE_H_RNW,I,0.7,12247,12247
Water_06,1998,1000,Total,Total,WS_SRCE_H_TNK,I,1,12247,12247
Water_06,1998,1000,Total,Total,WS_SRCE_H_BOT,I,0.1,12247,12247
Water_06,1998,1000,Total,Total,WS_SRCE_H_NIM,I,13.2,12247,12247
Water_06,1998,1000,Total,Total,WS_SRCE_H_SRF,I,11.8,12247,12247
Water_06,1998,1000,Total,Total,WS_SRCE_H_OTH,I,1.4,12247,12247
Water_06,1998,1000,Total,Total,WS_SRCE_H_DKM,S,0.5,12247,12247
Water_06,1998,1000,Total,Total,WS_SRCE_H_TOT,T,100,12247,12247
Water_06,1998,1000,Total,Total,WS_SRCE_P_IMP,I,83.5,52007,52465
Water_06,1998,1000,Total,Total,WS_SRCE_P_PIP,I,36,52007,52465
Water_06,1998,1000,Total,Total,WS_SRCE_P_TAP,I,19.3,52007,52465
Water_06,1998,1000,Total,Total,WS_SRCE_P_TUB,I,3.4,52007,52465
Water_06,1998,1000,Total,Total,WS_SRCE_P_RNW,I,0.7,52007,52465
Water_06,1998,1000,Total,Total,WS_SRCE_P_TNK,I,0.9,52007,52465
Water_06,1998,1000,Total,Total,WS_SRCE_P_BOT,I,0.1,52007,52465
Water_06,1998,1000,Total,Total,WS_SRCE_P_NIM,I,15.9,52007,52465
Water_06,1998,1000,Total,Total,WS_SRCE_P_SRF,I,14.4,52007,52465
Water_06,1998,1000,Total,Total,WS_SRCE_P_OTH,I,1.5,52007,52465
Water_06,1998,1000,Total,Total,WS_SRCE_P_DKM,S,0.7,52007,52465
Water_06,1998,1000,Total,Total,WS_SRCE_P_TOT,T,100,52007,52465
Water_06,1998,1000,Total,Total,WS_TIME_H_ONP,I,63.2,12247,12247
Water_06,1998,1000,Total,Total,WS_TIME_H_L30,I,28.5,12247,12247
Water_06,1998,1000,Total,Total,WS_TIME_H_M30,I,6.7,12247,12247
Water_06,1998,1000,Total,Total,WS_TIME_H_DKM,S,1.6,12247,12247
Water_06,1998,1000,Total,Total,WS_TIME_P_ONP,I,60.4,52007,52465
Water_06,1998,1000,Total,Total,WS_TIME_P_L30,I,29.5,52007,52465
Water_06,1998,1000,Total,Total,WS_TIME_P_M30,I,8.4,52007,52465
Water_06,1998,1000,Total,Total,WS_TIME_P_DKM,S,1.7,52007,52465
Water_06,1998,1000,Total,Total,WS_WTRT_H_NUM,D,12247,52007,12247
Water_06,1998,1000,Total,Total,WS_WTRT_H_UNW,U,12247,12247,12247
Water_06,1998,1000,Total,Total,WS_WTRT_P_NUM,D,52007,12247,12247
Water_06,1998,1000,Total,Total,WS_WTRT_P_UNW,U,52465,52007,52465
Water_06,2016,1000,Total,Total,WS_SRCE_H_IMP,I,95.3,11083,11083
Water_06,2016,1000,Total,Total,WS_SRCE_H_PIP,I,45.1,11083,11083
Water_06,2016,1000,Total,Total,WS_SRCE_H_TAP,I,14.1,11083,11083
Water_06,2016,1000,Total,Total,WS_SRCE_H_TUB,I,2.8,11083,11083
Water_06,2016,1000,Total,Total,WS_SRCE_H_PWL,I,0.2,11083,11083
Water_06,2016,1000,Total,Total,WS_SRCE_H_PSG,I,0.3,11083,11083
Water_06,2016,1000,Total,Total,WS_SRCE_H_RNW,I,0.5,11083,11083
Water_06,2016,1000,Total,Total,WS_SRCE_H_TNK,I,2.1,11083,11083
Water_06,2016,1000,Total,Total,WS_SRCE_H_BOT,I,0.9,11083,11083
Water_06,2016,1000,Total,Total,WS_SRCE_H_NIM,I,4.7,11083,11083
Water_06,2016,1000,Total,Total,WS_SRCE_H_UWL,I,1.3,11083,11083
Water_06,2016,1000,Total,Total,WS_SRCE_H_USG,I,0.9,11083,11083
Water_06,2016,1000,Total,Total,WS_SRCE_H_SRF,I,2.3,11083,11083
Water_06,2016,1000,Total,Total,WS_SRCE_H_OTH,I,0.3,11083,11083
Water_06,2016,1000,Total,Total,WS_SRCE_H_TOT,T,100,11083,11083
Water_06,2016,1000,Total,Total,WS_SRCE_P_IMP,I,93.4,37205,37925
Water_06,2016,1000,Total,Total,WS_SRCE_P_PIP,I,45.5,37205,37925
Water_06,2016,1000,Total,Total,WS_SRCE_P_TAP,I,13.6,37205,37925
Water_06,2016,1000,Total,Total,WS_SRCE_P_TUB,I,2.8,37205,37925
Water_06,2016,1000,Total,Total,WS_SRCE_P_PWL,I,0.2,37205,37925
Water_06,2016,1000,Total,Total,WS_SRCE_P_PSG,I,0.4,37205,37925
Water_06,2016,1000,Total,Total,WS_SRCE_P_RNW,I,0.5,37205,37925
Water_06,2016,1000,Total,Total,WS_SRCE_P_TNK,I,2,37205,37925
Water_06,2016,1000,Total,Total,WS_SRCE_P_BOT,I,0.7,37205,37925
Water_06,2016,1000,Total,Total,WS_SRCE_P_NIM,I,6.6,37205,37925
Water_06,2016,1000,Total,Total,WS_SRCE_P_UWL,I,1.8,37205,37925
Water_06,2016,1000,Total,Total,WS_SRCE_P_USG,I,1.2,37205,37925
Water_06,2016,1000,Total,Total,WS_SRCE_P_SRF,I,3.4,37205,37925
Water_06,2016,1000,Total,Total,WS_SRCE_P_OTH,I,0.2,37205,37925
Water_06,2016,1000,Total,Total,WS_SRCE_P_TOT,T,100,37205,37925
Water_06,2016,1000,Total,Total,WS_TIME_H_ONP,I,78.5,11083,11083
