SurveyYear,IndicatorId,Indicator,IndicatorType,Value,Value_zscore,DenominatorWeighted,DenominatorUnweighted,CharacteristicLabel,CharacteristicCategory
2016,CN_NUTS_C_HA3,Children severely stunted,I,9.8,-0.25800580614838003,1404,1468,Total,Total
2016,CN_NUTS_C_HA2,Children stunted,I,27.4,0.7306290546484155,1404,1468,Total,Total
2016,CN_NUTS_C_HAM,Mean height for age of children,I,-1.1,-0.8702853506191228,1404,1468,Total,Total
2016,CN_NUTS_C_WH3,Children severely wasted,I,0.6,-0.7747922106557961,1384,1449,Total,Total
2016,CN_NUTS_C_WH2,Children wasted,I,2.5,-0.6680645836379602,1384,1449,Total,Total
2016,CN_NUTS_C_WHP,Children overweight,I,13.3,-0.06140228269447182,1384,1449,Total,Total
2016,CN_NUTS_C_WHM,Mean weight for height of children,I,0.6,-0.7747922106557961,1384,1449,Total,Total
2016,CN_NUTS_C_WA3,Children severely underweight,I,1.1,-0.7467059930195235,1416,1479,Total,Total
2016,CN_NUTS_C_WA2,Children underweight,I,5.9,-0.4770783037113064,1416,1479,Total,Total
2016,CN_NUTS_C_WAP,Children overweight for their age,I,4.5,-0.5557197130928697,1416,1479,Total,Total
2016,CN_NUTS_C_WAM,Mean weight for age of children,I,-0.2,-0.8197301588738322,1416,1479,Total,Total
2016,AN_NUTS_W_SHT,Women with height below 145 cm,I,1.5,-0.7242370189105053,3272,3405,Total,Total
2016,AN_NUTS_W_NM1,Number of women,D,3272,0.6930781065601938,3272,3405,Total,Total
2016,AN_NUTS_W_UN1,Number of women (unweighted),U,3405,0.8226396978597685,3272,3405,Total,Total
2016,AN_NUTS_W_BMI,Mean Body Mass Index (BMI) for women,I,28.3,0.7811842463937063,3081,3210,Total,Total
2016,AN_NUTS_W_NRM,Women with normal BMI (18.5-24.9),I,34.7,1.1406878321379958,3081,3210,Total,Total
2016,AN_NUTS_W_THN,Women who are thin according to BMI (<18.5),I,3.1,-0.634361122474433,3081,3210,Total,Total
2016,AN_NUTS_W_TH1,Women who are mildly thin according to BMI (17.0-18.4),I,2.6,-0.6624473401107056,3081,3210,Total,Total
2016,AN_NUTS_W_TH2,Women who are moderately thin according to BMI (<17.0),I,0.5,-0.7804094541830505,3081,3210,Total,Total
