Variable,Statistic,Value
CharacteristicId,mean,1000
CharacteristicId,sd,0
CharacteristicId,min,1000
CharacteristicId,max,1000
CharacteristicOrder,mean,0
CharacteristicOrder,sd,0
CharacteristicOrder,min,0
CharacteristicOrder,max,0
DenominatorUnweighted,mean,39352.875
DenominatorUnweighted,sd,12765.80427889668
DenominatorUnweighted,min,11066
DenominatorUnweighted,max,52465
DenominatorWeighted,mean,38815.15625
DenominatorWeighted,sd,12658.899980517022
DenominatorWeighted,min,11066
DenominatorWeighted,max,52007
IndicatorOrder,mean,252040162.05882353
IndicatorOrder,sd,4011155.2503513736
IndicatorOrder,min,250162010
IndicatorOrder,max,260831120
IsPreferred,mean,1
IsPreferred,sd,0
IsPreferred,min,1
IsPreferred,max,1
IsTotal,mean,1
IsTotal,sd,0
IsTotal,min,1
IsTotal,max,1
SurveyYearLabel,mean,2008.5882352941176
SurveyYearLabel,sd,8.99197503184156
SurveyYearLabel,min,1998
SurveyYearLabel,max,2016
