Variable,Statistic,Value
CIHigh,mean,NA
CIHigh,sd,NA
CIHigh,min,Inf
CIHigh,max,-Inf
CILow,mean,NA
CILow,sd,NA
CILow,min,Inf
CILow,max,-Inf
DenominatorUnweighted,mean,1654.7222222222222
DenominatorUnweighted,sd,1680.3793621243967
DenominatorUnweighted,min,59
DenominatorUnweighted,max,4797
DenominatorWeighted,mean,1659.2777777777778
DenominatorWeighted,sd,1658.9765734457585
DenominatorWeighted,min,68
DenominatorWeighted,max,4740
Value,mean,1159.3461538461538
Value,sd,1573.4176465848523
Value,min,3.1
Value,max,4797
