Variable,Statistic,Value
CIHigh,mean,35.2
CIHigh,sd,17.60368300022509
CIHigh,min,10
CIHigh,max,68
CILow,mean,22.766666666666666
CILow,sd,14.36874801575384
CILow,min,4
CILow,max,50
CharacteristicId,mean,6250
CharacteristicId,sd,5424.304280096842
CharacteristicId,min,1000
CharacteristicId,max,13000
CharacteristicOrder,mean,22500
CharacteristicOrder,sd,33873.82318894484
CharacteristicOrder,min,0
CharacteristicOrder,max,80000
DenominatorUnweighted,mean,4373
DenominatorUnweighted,sd,935.3074360871938
DenominatorUnweighted,min,3563
DenominatorUnweighted,max,5183
DenominatorWeighted,mean,4348
DenominatorWeighted,sd,890.2741150904029
DenominatorWeighted,min,3577
DenominatorWeighted,max,5119
IndicatorOrder,mean,63203530
IndicatorOrder,sd,25191.57775415406
IndicatorOrder,min,63166010
IndicatorOrder,max,63236050
IsPreferred,mean,0.75
IsPreferred,sd,0.4385290096535146
IsPreferred,min,0
IsPreferred,max,1
IsTotal,mean,1
IsTotal,sd,0
IsTotal,min,1
IsTotal,max,1
SurveyYearLabel,mean,2007
SurveyYearLabel,sd,9.114654303753
SurveyYearLabel,min,1998
SurveyYearLabel,max,2016
