Variable,Statistic,Value
CIHigh,mean,580
CIHigh,sd,312.21627119674594
CIHigh,min,223
CIHigh,max,802
CILow,mean,193.66666666666666
CILow,sd,102.6271568997862
CILow,min,77
CILow,max,270
DenominatorUnweighted,mean,93630.5
DenominatorUnweighted,sd,32981.113800173574
DenominatorUnweighted,min,63523
DenominatorUnweighted,max,123738
DenominatorWeighted,mean,92734.5
DenominatorWeighted,sd,42379.030716853355
DenominatorWeighted,min,62768
DenominatorWeighted,max,122701
Value,mean,17881.520952380954
Value,sd,39766.960233562255
Value,min,0.005
Value,max,123738
