Variable,Statistic,Value
CIHigh,mean,NA
CIHigh,sd,NA
CIHigh,min,Inf
CIHigh,max,-Inf
CILow,mean,NA
CILow,sd,NA
CILow,min,Inf
CILow,max,-Inf
DenominatorUnweighted,mean,27495.238095238095
DenominatorUnweighted,sd,16938.786204692162
DenominatorUnweighted,min,11083
DenominatorUnweighted,max,52465
DenominatorWeighted,mean,27185.14285714286
DenominatorWeighted,sd,16667.462588823346
DenominatorWeighted,min,11083
DenominatorWeighted,max,52007
Value,mean,4942.05652173913
Value,sd,13082.678765513705
Value,min,0.4
Value,max,52465
