Value,DenominatorWeighted,DenominatorUnweighted
28.5,2871,2903
30,4122,4148
27.3,2010,2041
66.6,2871,2903
65,4122,4148
68.4,2010,2041
0.1,2871,2903
0.6,2871,2903
0.7,4122,4148
1.2,2871,2903
1.1,4122,4148
0.9,2010,2041
2.9,2871,2903
3.1,4122,4148
2.7,2010,2041
100,2871,2903
95.1,2871,2903
95,4122,4148
95.7,2010,2041
2871,2010,2903
4122,2010,4148
2010,2010,2041
2903,2871,2041
4148,4122,2041
2041,2010,2041
76.5,3072,3119
74.9,4992,5066
77.6,2081,2113
8,3072,3119
8.5,4992,5066
7.5,2081,2113
13.8,3072,3119
14.3,4992,5066
13.5,2081,2113
0.1,3072,3119
0.2,4992,5066
1.6,3072,3119
2.1,4992,5066
1.2,2081,2113
100,3072,3119
84.5,3072,3119
83.4,4992,5066
85.2,2081,2113
3072,2081,3119
4992,2081,5066
2081,2081,2113
3119,3072,2113
5066,4992,2113
2113,2081,2113
29.3,3072,3119
30,4992,5066
28.2,2081,2113
56.1,3072,3119
54.4,4992,5066
58.1,2081,2113
1.4,3072,3119
1.2,2081,2113
9.9,3072,3119
10.5,4992,5066
9.7,2081,2113
2.1,3072,3119
1.8,2081,2113
1.2,3072,3119
1.7,4992,5066
0.9,2081,2113
100,3072,3119
85.5,3072,3119
84.4,4992,5066
86.4,2081,2113
15.4,3072,3119
15.5,4992,5066
15.1,2081,2113
21.9,2912,2958
19.3,4740,4797
2912,4740,2958
4740,4740,4797
2958,2912,4797
4797,4740,4797
81.9,637,607
78.2,913,862
637,913,607
913,913,862
607,637,862
862,913,862
62.1,508,523
60.6,627,634
52.7,508,523
51.2,627,634
70.6,508,523
68.6,627,634
83.1,508,523
81,627,634
56.6,508,523
57.1,627,634
90.2,508,523
89.1,627,634
9.8,508,523
10.9,627,634
0.5,508,523
0.4,627,634
87.6,508,523
86.3,627,634
0.6,508,523
0.5,627,634
0.9,508,523
1.7,627,634
508,627,523
627,627,634
523,508,634
634,627,634
17.1,1962,1977
16.1,1386,1376
76.8,1962,1977
76.6,3036,3036
77,1386,1376
0.6,1962,1977
0.5,1386,1376
5.5,1962,1977
5.7,3036,3036
6.5,1386,1376
100,1962,1977
93.9,1962,1977
93.7,3036,3036
